,geometry,AdmUnitId,infektionenGesamt,todeGesamt,infektionenNeu,todeNeu,infektionen7Tage,inzidenz7Tage,verwaltungseinheit
363,,12066,6982,263,21,0,159,145.4,LK Oberspreewald-Lausitz
364,,12067,7721,295,47,0,209,116.9,LK Oder-Spree
365,,12068,4010,148,5,2,82,82.9,LK Ostprignitz-Ruppin
366,,12069,7462,193,48,0,202,93.3,LK Potsdam-Mittelmark
367,,12070,3070,158,10,0,80,105.0,LK Prignitz
368,,12071,7167,183,33,1,187,164.4,LK Spree-Neiße
369,,12072,6403,195,30,0,174,102.4,LK Teltow-Fläming
370,,12073,3593,152,26,0,150,126.1,LK Uckermark
371,,13003,2689,34,12,0,195,93.2,SK Rostock
372,,13004,2507,101,29,3,122,127.5,SK Schwerin
373,,13071,7873,150,60,0,328,127.1,LK Mecklenburgische Seenplatte
374,,13072,4041,110,31,1,202,93.6,LK Rostock
375,,13073,3591,73,41,1,204,90.8,LK Vorpommern-Rügen
376,,13074,3550,71,34,0,171,108.7,LK Nordwestmecklenburg
377,,13075,9186,232,40,5,323,137.1,LK Vorpommern-Greifswald
378,,13076,6519,224,46,0,445,210.1,LK Ludwigslust-Parchim
379,,14511,15513,461,172,9,698,283.4,SK Chemnitz
380,,14521,28552,732,208,1,1186,354.1,LK Erzgebirgskreis
381,,14522,21575,619,155,1,940,309.1,LK Mittelsachsen
382,,14523,18027,731,45,1,463,204.9,LK Vogtlandkreis
383,,14524,24588,941,114,2,916,290.8,LK Zwickau
384,,14612,28382,1047,131,6,751,134.9,SK Dresden
385,,14625,24714,844,192,1,795,265.2,LK Bautzen
386,,14626,18938,1061,82,3,543,214.9,LK Görlitz
387,,14627,16047,581,69,0,447,184.9,LK Meißen
388,,14628,18814,921,128,0,511,208.1,LK Sächsische Schweiz-Osterzgebirge
389,,14713,20524,488,88,0,630,106.2,SK Leipzig
390,,14729,13522,314,60,0,377,146.0,LK Leipzig
391,,14730,12688,328,55,3,323,163.3,LK Nordsachsen
392,,15001,2987,110,19,0,111,138.6,SK Dessau-Roßlau
393,,15002,10863,332,161,4,433,181.4,SK Halle
394,,15003,6141,129,31,0,269,113.2,SK Magdeburg
395,,15081,2165,74,18,0,117,140.7,LK Altmarkkreis Salzwedel
396,,15082,6252,159,123,2,240,151.4,LK Anhalt-Bitterfeld
397,,15083,5538,132,37,0,241,141.0,LK Börde
398,,15084,12106,561,73,5,401,224.2,LK Burgenlandkreis
399,,15085,7750,242,89,0,463,217.1,LK Harz
400,,15086,3116,145,16,0,105,117.2,LK Jerichower Land
401,,15087,5791,195,55,4,281,208.2,LK Mansfeld-Südharz
402,,15088,9206,299,66,1,416,226.3,LK Saalekreis
403,,15089,8109,298,55,0,345,182.4,LK Salzlandkreis
404,,15090,4242,153,54,1,206,185.3,LK Stendal
405,,15091,6143,257,29,0,170,136.1,LK Wittenberg
406,,16051,7784,238,44,0,308,143.9,SK Erfurt
407,,16052,5216,183,34,5,209,224.4,SK Gera
408,,16053,3962,67,18,0,161,144.6,SK Jena
409,,16054,2015,103,10,1,99,269.1,SK Suhl
410,,16055,2369,97,12,0,88,134.9,SK Weimar
411,,16056,1715,61,19,0,64,151.5,SK Eisenach
412,,16061,5773,222,20,1,143,143.0,LK Eichsfeld
413,,16062,2377,56,10,0,114,136.7,LK Nordhausen
414,,16063,7506,214,49,1,296,248.8,LK Wartburgkreis
415,,16064,5747,229,29,0,127,124.2,LK Unstrut-Hainich-Kreis
416,,16065,3270,128,14,0,119,160.4,LK Kyffhäuserkreis
417,,16066,9208,331,22,0,236,188.9,LK Schmalkalden-Meiningen
418,,16067,7463,192,84,2,376,278.7,LK Gotha
419,,16068,3676,114,35,0,174,250.6,LK Sömmerda
420,,16069,4717,223,38,0,181,286.4,LK Hildburghausen
421,,16070,5801,197,32,0,319,300.2,LK Ilm-Kreis
422,,16071,3713,63,32,0,170,206.9,LK Weimarer Land
423,,16072,3658,152,32,1,167,289.3,LK Sonneberg
424,,16073,6160,257,78,1,297,287.8,LK Saalfeld-Rudolstadt
425,,16074,4276,97,37,0,198,238.7,LK Saale-Holzland-Kreis
426,,16075,5824,149,26,4,211,262.7,LK Saale-Orla-Kreis
427,,16076,7286,186,35,5,230,236.1,LK Greiz
428,,16077,6403,254,39,2,192,214.8,LK Altenburger Land
